DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,GETHOM,GETMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,OCUHOM,OCUMUJ,origen_archivo,PUEHOM,PUEMUJ,CIUOHOM,CIUOMUJ,depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj,AÑOOCU,PPERHOM,PPERMUJ
Peten,Dolores,Marzo,2012.0,16.0,Febrero,Peten,San Benito,Ignorado,33.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Oficiales de las fuerzas armadas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,El Tumbador,Mayo,2012.0,3.0,Febrero,San Marcos,Malacatán,35.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Ignorado,Oficiales de las fuerzas armadas,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2012.0,27.0,Marzo,Guatemala,Guatemala,33.0,32.0,Ignorado,No indigena,Guatemala,Guatemala,Universitario,Universitario,Ingenieros civiles,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiche,Sacapulas,Junio,2012.0,28.0,Mayo,Quiche,Santa Cruz del Quiché,31.0,28.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Operadores de máquinas y de instalaciones fijas no clasificados bajo otros epígrafes,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Octubre,2012.0,12.0,Marzo,Guatemala,Guatemala,27.0,29.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,"Gerentes de sucursales de bancos, de servicios financieros y de seguros",Directores de recursos humanos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2012.0,9.0,Enero,Guatemala,Guatemala,37.0,30.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,11.0,Junio,Guatemala,Guatemala,41.0,42.0,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Universitario,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Mixco,Octubre,2012.0,12.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,3.0,Agosto,Guatemala,Guatemala,36.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Analistas de gestión y organización,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Septiembre,2012.0,29.0,Febrero,Guatemala,Guatemala,46.0,37.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Analistas de sistemas,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Julio,2012.0,20.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales en derecho no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
