categoria,etiqueta,frecuencia,porcentaje
97,97,9954,17.5253
99,99,9737,17.1432
92,92,6018,10.5954
52,52,3368,5.9298
98,98,3317,5.84
NEOG,NEOG,3142,5.5319
IGNORADO,IGNORADO,3139,5.5266
43,43,2013,3.5441
61,61,1858,3.2712
23,23,1489,2.6216
72,72,1294,2.2782
83,83,1157,2.037
31,31,1081,1.9032
71,71,1047,1.8434
35,35,1019,1.7941
34,34,866,1.5247
21,21,794,1.3979
33,33,657,1.1567
26,26,605,1.0652
75,75,498,0.8768
81,81,452,0.7958
22,22,427,0.7518
24,24,417,0.7342
51,51,322,0.5669
74,74,284,0.5
54,54,283,0.4983
12,12,218,0.3838
93,93,183,0.3222
25,25,173,0.3046
73,73,149,0.2623
32,32,132,0.2324
41,41,132,0.2324
42,42,130,0.2289
96,96,83,0.1461
11,11,55,0.0968
91,91,53,0.0933
44,44,50,0.088
1,1,42,0.0739
3,3,39,0.0687
13,13,29,0.0511
01,01,23,0.0405
03,03,20,0.0352
62,62,20,0.0352
53,53,8,0.0141
14,14,6,0.0106
95,95,6,0.0106
82,82,5,0.0088
94,94,4,0.007
