categoria,etiqueta,frecuencia,porcentaje
1,1 - Guatemala,26550,37.9589
9,9 - Quetzaltenango,5195,7.4274
5,5 - Escuintla,3313,4.7366
22,22 - Jutiapa,3069,4.3878
12,12 - San Marcos,2799,4.0018
10,10 - Suchitepequez,2580,3.6887
13,13 - Huehuetenango,2287,3.2698
18,18 - Izabal,2257,3.2269
11,11 - Retalhuleu,1998,2.8566
14,14 - Quiche,1918,2.7422
6,6 - Santa Rosa,1911,2.7322
19,19 - Zacapa,1855,2.6521
17,17 - Peten,1830,2.6164
20,20 - Chiquimula,1724,2.4648
16,16 - Alta Verapaz,1711,2.4462
21,21 - Jalapa,1547,2.2118
3,3 - Sacatepequez,1446,2.0674
4,4 - Chimaltenango,1379,1.9716
15,15 - Baja Verapaz,1306,1.8672
2,2 - El Progreso,1243,1.7771
8,8 - Totonicapan,1234,1.7643
7,7 - Solola,792,1.1323
