categoria,etiqueta,frecuencia,porcentaje
1,1 - Guatemala,27308,39.0427
9,9 - Quetzaltenango,5343,7.639
5,5 - Escuintla,3201,4.5765
22,22 - Jutiapa,2722,3.8917
12,12 - San Marcos,2654,3.7945
10,10 - Suchitepequez,2368,3.3856
13,13 - Huehuetenango,2229,3.1868
18,18 - Izabal,2208,3.1568
11,11 - Retalhuleu,2018,2.8852
17,17 - Peten,1921,2.7465
6,6 - Santa Rosa,1865,2.6664
14,14 - Quiche,1850,2.645
19,19 - Zacapa,1827,2.6121
21,21 - Jalapa,1742,2.4906
20,20 - Chiquimula,1711,2.4462
16,16 - Alta Verapaz,1696,2.4248
3,3 - Sacatepequez,1492,2.1331
4,4 - Chimaltenango,1423,2.0345
2,2 - El Progreso,1245,1.78
15,15 - Baja Verapaz,1208,1.7271
8,8 - Totonicapan,1129,1.6141
7,7 - Solola,784,1.1209
