categoria,etiqueta,frecuencia,porcentaje
0101,0101,18781,26.8515
0901,0901,2190,3.1311
0108,0108,2053,2.9352
0115,0115,1964,2.808
1801,1801,1371,1.9601
2201,2201,1364,1.9501
1001,1001,1326,1.8958
0920,0920,1278,1.8272
1101,1101,1161,1.6599
0501,0501,1130,1.6156
1301,1301,1058,1.5126
2101,2101,1049,1.4998
1901,1901,1047,1.4969
1601,1601,1018,1.4555
2001,2001,889,1.271
0114,0114,841,1.2024
0301,0301,730,1.0437
0801,0801,679,0.9708
0502,0502,666,0.9522
1401,1401,634,0.9064
1501,1501,595,0.8507
0401,0401,593,0.8478
1215,1215,555,0.7935
0601,0601,537,0.7678
0201,0201,528,0.7549
0116,0116,493,0.7048
1804,1804,476,0.6805
1703,1703,453,0.6477
1201,1201,373,0.5333
0102,0102,366,0.5233
1712,1712,365,0.5218
0117,0117,356,0.509
0106,0106,352,0.5033
0506,0506,351,0.5018
0701,0701,339,0.4847
2205,2205,314,0.4489
0103,0103,307,0.4389
0110,0110,286,0.4089
0608,0608,270,0.386
1202,1202,270,0.386
0207,0207,259,0.3703
1904,1904,259,0.3703
0513,0513,241,0.3446
1701,1701,241,0.3446
2202,2202,238,0.3403
1805,1805,237,0.3388
2007,2007,237,0.3388
1412,1412,236,0.3374
0509,0509,233,0.3331
0602,0602,226,0.3231
1705,1705,223,0.3188
0917,0917,212,0.3031
1002,1002,212,0.3031
1217,1217,209,0.2988
0805,0805,207,0.296
1312,1312,194,0.2774
1503,1503,174,0.2488
2106,2106,173,0.2473
0909,0909,167,0.2388
1413,1413,165,0.2359
2203,2203,164,0.2345
0902,0902,160,0.2288
1903,1903,160,0.2288
0507,0507,158,0.2259
0614,0614,156,0.223
0914,0914,153,0.2187
2212,2212,153,0.2187
1406,1406,152,0.2173
1609,1609,152,0.2173
0511,0511,147,0.2102
2011,2011,145,0.2073
0105,0105,144,0.2059
0113,0113,144,0.2059
1102,1102,144,0.2059
1507,1507,144,0.2059
2214,2214,144,0.2059
1107,1107,142,0.203
0308,0308,141,0.2016
1504,1504,141,0.2016
0203,0203,135,0.193
0609,0609,134,0.1916
1218,1218,134,0.1916
1010,1010,129,0.1844
2204,2204,129,0.1844
0904,0904,127,0.1816
0107,0107,126,0.1801
2009,2009,126,0.1801
0921,0921,123,0.1759
1105,1105,122,0.1744
0111,0111,121,0.173
1802,1802,121,0.173
1902,1902,121,0.173
0903,0903,120,0.1716
2216,2216,120,0.1716
0109,0109,117,0.1673
0403,0403,116,0.1658
1222,1222,116,0.1658
1003,1003,114,0.163
2217,2217,112,0.1601
1108,1108,110,0.1573
1216,1216,110,0.1573
0710,0710,109,0.1558
1106,1106,109,0.1558
2103,2103,109,0.1558
0923,0923,108,0.1544
1420,1420,108,0.1544
0302,0302,107,0.153
1213,1213,107,0.153
0406,0406,104,0.1487
1219,1219,103,0.1473
1709,1709,102,0.1458
2008,2008,101,0.1444
0802,0802,100,0.143
1326,1326,100,0.143
1008,1008,99,0.1415
1604,1604,99,0.1415
1404,1404,97,0.1387
1220,1220,96,0.1373
0803,0803,95,0.1358
1109,1109,95,0.1358
1711,1711,95,0.1358
2207,2207,95,0.1358
1308,1308,94,0.1344
0505,0505,93,0.133
0611,0611,92,0.1315
1708,1708,92,0.1315
0603,0603,91,0.1301
0312,0312,90,0.1287
0415,0415,90,0.1287
0604,0604,90,0.1287
1905,1905,90,0.1287
1302,1302,87,0.1244
0504,0504,85,0.1215
2102,2102,83,0.1187
0606,0606,82,0.1172
2211,2211,82,0.1172
0309,0309,81,0.1158
1304,1304,80,0.1144
1006,1006,79,0.1129
1020,1020,79,0.1129
0202,0202,78,0.1115
1004,1004,77,0.1101
1603,1603,77,0.1101
0613,0613,76,0.1087
1014,1014,76,0.1087
0413,0413,74,0.1058
0704,0704,74,0.1058
0206,0206,72,0.1029
0416,0416,72,0.1029
0919,0919,72,0.1029
1009,1009,72,0.1029
1502,1502,71,0.1015
1610,1610,71,0.1015
1615,1615,71,0.1015
0503,0503,70,0.1001
0104,0104,69,0.0987
1211,1211,69,0.0987
1710,1710,69,0.0987
0205,0205,68,0.0972
0922,0922,68,0.0972
1103,1103,68,0.0972
1210,1210,68,0.0972
0510,0510,67,0.0958
0407,0407,65,0.0929
0804,0804,65,0.0929
1212,1212,65,0.0929
1506,1506,65,0.0929
1416,1416,64,0.0915
