categoria,etiqueta,frecuencia,porcentaje
320,320,68545,98.0012
840,840,263,0.376
9999,9999,246,0.3517
222,222,169,0.2416
720,720,86,0.123
484,484,59,0.0844
192,192,53,0.0758
340,340,52,0.0743
170,170,41,0.0586
276,276,38,0.0543
723,723,37,0.0529
188,188,35,0.05
724,724,30,0.0429
32,32,22,0.0315
604,604,22,0.0315
1020,1020,18,0.0257
380,380,17,0.0243
124,124,16,0.0229
152,152,13,0.0186
-1,-1,10,0.0143
156,156,10,0.0143
568,568,10,0.0143
218,218,9,0.0129
410,410,9,0.0129
68,68,8,0.0114
718,718,8,0.0114
1026,1026,7,0.01
214,214,7,0.01
630,630,7,0.01
84,84,7,0.01
862,862,7,0.01
76,76,6,0.0086
1021,1021,5,0.0071
1034,1034,5,0.0071
40,40,5,0.0071
721,721,5,0.0071
756,756,5,0.0071
858,858,4,0.0057
364,364,3,0.0043
376,376,3,0.0043
752,752,3,0.0043
208,208,2,0.0029
36,36,2,0.0029
392,392,2,0.0029
400,400,2,0.0029
422,422,2,0.0029
554,554,2,0.0029
578,578,2,0.0029
10,10,1,0.0014
100,100,1,0.0014
1000,1000,1,0.0014
1043,1043,1,0.0014
212,212,1,0.0014
275,275,1,0.0014
344,344,1,0.0014
352,352,1,0.0014
368,368,1,0.0014
372,372,1,0.0014
388,388,1,0.0014
408,408,1,0.0014
470,470,1,0.0014
524,524,1,0.0014
56,56,1,0.0014
566,566,1,0.0014
586,586,1,0.0014
608,608,1,0.0014
620,620,1,0.0014
642,642,1,0.0014
643,643,1,0.0014
729,729,1,0.0014
780,780,1,0.0014
818,818,1,0.0014
