categoria,etiqueta,frecuencia,porcentaje
320,320,68527,97.9755
840,840,300,0.4289
9999,9999,257,0.3674
222,222,248,0.3546
720,720,101,0.1444
340,340,86,0.123
170,170,46,0.0658
484,484,45,0.0643
192,192,42,0.06
723,723,34,0.0486
188,188,33,0.0472
276,276,19,0.0272
124,124,18,0.0257
724,724,17,0.0243
32,32,13,0.0186
604,604,13,0.0186
214,214,12,0.0172
-1,-1,11,0.0157
1020,1020,11,0.0157
1026,1026,10,0.0143
218,218,8,0.0114
862,862,8,0.0114
630,630,7,0.01
380,380,6,0.0086
152,152,5,0.0071
643,643,5,0.0071
721,721,5,0.0071
76,76,5,0.0071
1034,1034,4,0.0057
40,40,4,0.0057
718,718,4,0.0057
156,156,3,0.0043
392,392,3,0.0043
56,56,3,0.0043
752,752,3,0.0043
84,84,3,0.0043
858,858,3,0.0043
568,568,2,0.0029
68,68,2,0.0029
725,725,2,0.0029
756,756,2,0.0029
208,208,1,0.0014
316,316,1,0.0014
36,36,1,0.0014
410,410,1,0.0014
498,498,1,0.0014
578,578,1,0.0014
600,600,1,0.0014
616,616,1,0.0014
620,620,1,0.0014
642,642,1,0.0014
780,780,1,0.0014
804,804,1,0.0014
826,826,1,0.0014
