categoria,etiqueta,frecuencia,porcentaje
9999,9999,4253,32.352
9712,9712,3652,27.7803
6111,6111,1435,10.9159
5221,5221,451,3.4307
9211,9211,397,3.0199
4311,4311,325,2.4722
2341,2341,218,1.6583
9998,9998,166,1.2627
8322,8322,163,1.2399
3513,3513,155,1.1791
7231,7231,150,1.141
7112,7112,99,0.7531
2211,2211,89,0.677
3119,3119,82,0.6238
3412,3412,72,0.5477
3314,3314,62,0.4716
5249,5249,53,0.4032
7115,7115,51,0.388
4131,4131,47,0.3575
8152,8152,42,0.3195
2611,2611,41,0.3119
7536,7536,41,0.3119
2359,2359,40,0.3043
7411,7411,38,0.2891
1219,1219,37,0.2815
7212,7212,33,0.251
7512,7512,33,0.251
7531,7531,31,0.2358
2141,2141,28,0.213
2142,2142,26,0.1978
3142,3142,25,0.1902
8189,8189,24,0.1826
9313,9313,23,0.175
2132,2132,22,0.1674
2421,2421,20,0.1521
2161,2161,19,0.1445
310,310,19,0.1445
8332,8332,19,0.1445
2422,2422,18,0.1369
2511,2511,18,0.1369
3114,3114,17,0.1293
4321,4321,17,0.1293
7131,7131,17,0.1293
5242,5242,16,0.1217
5412,5412,16,0.1217
2411,2411,15,0.1141
2431,2431,15,0.1141
110,110,14,0.1065
2144,2144,14,0.1065
2149,2149,14,0.1065
9621,9621,14,0.1065
2261,2261,11,0.0837
2412,2412,11,0.0837
3153,3153,11,0.0837
4211,4211,10,0.0761
7221,7221,10,0.0761
1346,1346,9,0.0685
7126,7126,9,0.0685
2145,2145,8,0.0609
2619,2619,8,0.0609
2634,2634,8,0.0609
2652,2652,8,0.0609
2166,2166,7,0.0532
2320,2320,7,0.0532
2351,2351,7,0.0532
2433,2433,7,0.0532
3431,3431,7,0.0532
5120,5120,7,0.0532
9713,9713,7,0.0532
1120,1120,6,0.0456
2152,2152,6,0.0456
2221,2221,6,0.0456
2636,2636,6,0.0456
2642,2642,6,0.0456
4419,4419,6,0.0456
7321,7321,6,0.0456
7412,7412,6,0.0456
7534,7534,6,0.0456
8341,8341,6,0.0456
9111,9111,6,0.0456
9333,9333,6,0.0456
9629,9629,6,0.0456
2113,2113,5,0.038
2133,2133,5,0.038
2212,2212,5,0.038
2631,2631,5,0.038
3118,3118,5,0.038
3139,3139,5,0.038
3522,3522,5,0.038
6113,6113,5,0.038
7319,7319,5,0.038
9711,9711,5,0.038
1212,1212,4,0.0304
1221,1221,4,0.0304
2151,2151,4,0.0304
2353,2353,4,0.0304
2633,2633,4,0.0304
2656,2656,4,0.0304
3115,3115,4,0.0304
3212,3212,4,0.0304
3322,3322,4,0.0304
3434,3434,4,0.0304
5131,5131,4,0.0304
5141,5141,4,0.0304
5419,5419,4,0.0304
7322,7322,4,0.0304
7323,7323,4,0.0304
2632,2632,3,0.0228
2659,2659,3,0.0228
3123,3123,3,0.0228
3221,3221,3,0.0228
3331,3331,3,0.0228
3421,3421,3,0.0228
3422,3422,3,0.0228
3521,3521,3,0.0228
4214,4214,3,0.0228
5111,5111,3,0.0228
5153,5153,3,0.0228
5411,5411,3,0.0228
7223,7223,3,0.0228
7232,7232,3,0.0228
7314,7314,3,0.0228
7511,7511,3,0.0228
9520,9520,3,0.0228
1411,1411,2,0.0152
2250,2250,2,0.0152
2262,2262,2,0.0152
2519,2519,2,0.0152
2529,2529,2,0.0152
2651,2651,2,0.0152
3257,3257,2,0.0152
3432,3432,2,0.0152
4229,4229,2,0.0152
4312,4312,2,0.0152
6121,6121,2,0.0152
7313,7313,2,0.0152
7533,7533,2,0.0152
8321,8321,2,0.0152
9321,9321,2,0.0152
1111,1111,1,0.0076
2120,2120,1,0.0076
2131,2131,1,0.0076
2153,2153,1,0.0076
2267,2267,1,0.0076
2310,2310,1,0.0076
2330,2330,1,0.0076
2342,2342,1,0.0076
2354,2354,1,0.0076
2413,2413,1,0.0076
2514,2514,1,0.0076
2522,2522,1,0.0076
2635,2635,1,0.0076
2641,2641,1,0.0076
3122,3122,1,0.0076
3411,3411,1,0.0076
3435,3435,1,0.0076
4221,4221,1,0.0076
4222,4222,1,0.0076
4226,4226,1,0.0076
5113,5113,1,0.0076
5132,5132,1,0.0076
5223,5223,1,0.0076
5243,5243,1,0.0076
6123,6123,1,0.0076
6222,6222,1,0.0076
7122,7122,1,0.0076
7125,7125,1,0.0076
7132,7132,1,0.0076
7222,7222,1,0.0076
7233,7233,1,0.0076
7311,7311,1,0.0076
7522,7522,1,0.0076
7523,7523,1,0.0076
7543,7543,1,0.0076
7549,7549,1,0.0076
8219,8219,1,0.0076
8343,8343,1,0.0076
9122,9122,1,0.0076
