categoria,etiqueta,frecuencia,porcentaje
9999,9999,4793,36.4598
9712,9712,3455,26.2818
9711,9711,2687,20.4397
4120,4120,459,3.4916
2341,2341,369,2.8069
4311,4311,234,1.78
2359,2359,106,0.8063
5221,5221,98,0.7455
9998,9998,92,0.6998
2342,2342,66,0.5021
3513,3513,41,0.3119
3412,3412,40,0.3043
3221,3221,37,0.2815
5142,5142,36,0.2738
3314,3314,35,0.2662
7531,7531,34,0.2586
2221,2221,31,0.2358
2211,2211,30,0.2282
2422,2422,29,0.2206
2611,2611,25,0.1902
7533,7533,25,0.1902
4131,4131,24,0.1826
1219,1219,23,0.175
5249,5249,22,0.1674
8152,8152,20,0.1521
2431,2431,17,0.1293
5242,5242,17,0.1293
2634,2634,16,0.1217
4419,4419,16,0.1217
2166,2166,15,0.1141
2320,2320,14,0.1065
2161,2161,13,0.0989
2411,2411,9,0.0685
9629,9629,9,0.0685
2619,2619,8,0.0609
3119,3119,8,0.0609
3435,3435,8,0.0609
2261,2261,7,0.0532
2265,2265,7,0.0532
2433,2433,7,0.0532
2643,2643,7,0.0532
8189,8189,7,0.0532
4321,4321,6,0.0456
2141,2141,5,0.038
2145,2145,5,0.038
2351,2351,5,0.038
2633,2633,5,0.038
2642,2642,5,0.038
8160,8160,5,0.038
1120,1120,4,0.0304
2113,2113,4,0.0304
2421,2421,4,0.0304
2656,2656,4,0.0304
1221,1221,3,0.0228
1411,1411,3,0.0228
2149,2149,3,0.0228
2262,2262,3,0.0228
2529,2529,3,0.0228
2631,2631,3,0.0228
2635,2635,3,0.0228
4211,4211,3,0.0228
4221,4221,3,0.0228
4229,4229,3,0.0228
7512,7512,3,0.0228
1346,1346,2,0.0152
2131,2131,2,0.0152
2212,2212,2,0.0152
2652,2652,2,0.0152
3118,3118,2,0.0152
3212,3212,2,0.0152
3334,3334,2,0.0152
3411,3411,2,0.0152
5222,5222,2,0.0152
6111,6111,2,0.0152
9111,9111,2,0.0152
110,110,1,0.0076
1212,1212,1,0.0076
2132,2132,1,0.0076
2142,2142,1,0.0076
2151,2151,1,0.0076
2152,2152,1,0.0076
2250,2250,1,0.0076
2264,2264,1,0.0076
2267,2267,1,0.0076
2353,2353,1,0.0076
2354,2354,1,0.0076
2413,2413,1,0.0076
2511,2511,1,0.0076
2514,2514,1,0.0076
2632,2632,1,0.0076
2636,2636,1,0.0076
2641,2641,1,0.0076
2651,2651,1,0.0076
2655,2655,1,0.0076
2659,2659,1,0.0076
3142,3142,1,0.0076
3214,3214,1,0.0076
3222,3222,1,0.0076
3322,3322,1,0.0076
3431,3431,1,0.0076
3434,3434,1,0.0076
3522,3522,1,0.0076
4214,4214,1,0.0076
4223,4223,1,0.0076
4226,4226,1,0.0076
5111,5111,1,0.0076
5120,5120,1,0.0076
5153,5153,1,0.0076
5169,5169,1,0.0076
5223,5223,1,0.0076
5311,5311,1,0.0076
7122,7122,1,0.0076
7231,7231,1,0.0076
7314,7314,1,0.0076
7322,7322,1,0.0076
8219,8219,1,0.0076
9321,9321,1,0.0076
9713,9713,1,0.0076
