var_a,var_b,n_pares,pearson,spearman
edadhom,edadmuj,30222,0.799784,0.783534
edadhom,anoreg,32830,0.060592,0.090435
edadhom,anoocu,26906,0.063833,0.100173
edadhom,mesreg,32830,0.000562,0.002175
edadhom,mesocu,32830,0.003133,0.004305
edadhom,diaocu,32830,-0.000245,0.000232
edadmuj,anoreg,32968,0.087308,0.116922
edadmuj,anoocu,26941,0.089475,0.12807
edadmuj,mesreg,32968,0.006508,0.008531
edadmuj,mesocu,32968,0.004504,0.005019
edadmuj,diaocu,32968,0.001953,0.003463
anoreg,anoocu,53670,0.993361,0.989812
anoreg,mesreg,69944,-0.065141,-0.061038
anoreg,mesocu,69944,0.058689,0.057012
anoreg,diaocu,69944,0.002886,0.002524
anoocu,mesreg,53670,-0.002403,0.00019
anoocu,mesocu,53670,-0.001428,0.005064
anoocu,diaocu,53670,0.002829,0.000356
mesreg,mesocu,69944,0.158271,0.171514
mesreg,diaocu,69944,0.014049,0.014011
mesocu,diaocu,69944,-0.034768,-0.033252
