categoria,frecuencia,porcentaje
,13146,18.795
97,9954,14.2314
99,9737,13.9211
92,6018,8.604
52,3368,4.8153
98,3317,4.7424
NEOG,3142,4.4922
IGNORADO,3139,4.4879
43,2013,2.878
61,1858,2.6564
23,1489,2.1288
72,1294,1.8501
83,1157,1.6542
31,1081,1.5455
71,1047,1.4969
35,1019,1.4569
34,866,1.2381
21,794,1.1352
33,657,0.9393
26,605,0.865
75,498,0.712
81,452,0.6462
22,427,0.6105
24,417,0.5962
51,322,0.4604
74,284,0.406
54,283,0.4046
12,218,0.3117
93,183,0.2616
25,173,0.2473
73,149,0.213
32,132,0.1887
41,132,0.1887
42,130,0.1859
96,83,0.1187
11,55,0.0786
91,53,0.0758
44,50,0.0715
1,42,0.06
3,39,0.0558
13,29,0.0415
01,23,0.0329
03,20,0.0286
62,20,0.0286
53,8,0.0114
95,6,0.0086
14,6,0.0086
82,5,0.0071
94,4,0.0057
