categoria,frecuencia,porcentaje
97,18374,26.2696
,13146,18.795
99,10776,15.4066
98,5855,8.371
NEOG,5452,7.7948
IGNORADO,3461,4.9482
23,3079,4.4021
41,2299,3.2869
43,1246,1.7814
52,1071,1.5312
26,660,0.9436
34,538,0.7692
33,460,0.6577
35,407,0.5819
51,400,0.5719
22,397,0.5676
32,357,0.5104
21,341,0.4875
24,339,0.4847
75,281,0.4017
81,181,0.2588
42,163,0.233
12,154,0.2202
31,98,0.1401
44,97,0.1387
53,54,0.0772
25,43,0.0615
91,37,0.0529
73,34,0.0486
11,30,0.0429
93,25,0.0357
54,23,0.0329
96,11,0.0157
92,11,0.0157
14,9,0.0129
94,6,0.0086
13,5,0.0071
01,4,0.0057
83,4,0.0057
72,3,0.0043
1,3,0.0043
3,3,0.0043
71,3,0.0043
95,2,0.0029
61,1,0.0014
82,1,0.0014
