categoria,frecuencia,porcentaje
0101,18781,26.8515
0901,2190,3.1311
0108,2053,2.9352
0115,1964,2.808
1801,1371,1.9601
2201,1364,1.9501
1001,1326,1.8958
0920,1278,1.8272
1101,1161,1.6599
0501,1130,1.6156
1301,1058,1.5126
2101,1049,1.4998
1901,1047,1.4969
1601,1018,1.4555
2001,889,1.271
0114,841,1.2024
0301,730,1.0437
0801,679,0.9708
0502,666,0.9522
1401,634,0.9064
1501,595,0.8507
0401,593,0.8478
1215,555,0.7935
0601,537,0.7678
0201,528,0.7549
0116,493,0.7048
1804,476,0.6805
1703,453,0.6477
1201,373,0.5333
0102,366,0.5233
1712,365,0.5218
0117,356,0.509
0106,352,0.5033
0506,351,0.5018
0701,339,0.4847
2205,314,0.4489
0103,307,0.4389
0110,286,0.4089
1202,270,0.386
0608,270,0.386
1904,259,0.3703
0207,259,0.3703
1701,241,0.3446
0513,241,0.3446
2202,238,0.3403
1805,237,0.3388
2007,237,0.3388
1412,236,0.3374
0509,233,0.3331
0602,226,0.3231
1705,223,0.3188
0917,212,0.3031
1002,212,0.3031
1217,209,0.2988
0805,207,0.296
1312,194,0.2774
1503,174,0.2488
2106,173,0.2473
0909,167,0.2388
1413,165,0.2359
2203,164,0.2345
0902,160,0.2288
1903,160,0.2288
0507,158,0.2259
0614,156,0.223
0914,153,0.2187
2212,153,0.2187
1609,152,0.2173
1406,152,0.2173
0511,147,0.2102
2011,145,0.2073
1507,144,0.2059
2214,144,0.2059
1102,144,0.2059
0105,144,0.2059
0113,144,0.2059
1107,142,0.203
1504,141,0.2016
0308,141,0.2016
0203,135,0.193
0609,134,0.1916
1218,134,0.1916
2204,129,0.1844
1010,129,0.1844
0904,127,0.1816
0107,126,0.1801
2009,126,0.1801
0921,123,0.1759
1105,122,0.1744
1802,121,0.173
0111,121,0.173
1902,121,0.173
2216,120,0.1716
0903,120,0.1716
0109,117,0.1673
1222,116,0.1658
0403,116,0.1658
1003,114,0.163
2217,112,0.1601
1108,110,0.1573
1216,110,0.1573
2103,109,0.1558
1106,109,0.1558
0710,109,0.1558
1420,108,0.1544
0923,108,0.1544
1213,107,0.153
0302,107,0.153
0406,104,0.1487
1219,103,0.1473
1709,102,0.1458
2008,101,0.1444
1326,100,0.143
0802,100,0.143
1008,99,0.1415
1604,99,0.1415
1404,97,0.1387
1220,96,0.1373
0803,95,0.1358
2207,95,0.1358
1109,95,0.1358
1711,95,0.1358
1308,94,0.1344
0505,93,0.133
1708,92,0.1315
0611,92,0.1315
0603,91,0.1301
0604,90,0.1287
0312,90,0.1287
1905,90,0.1287
0415,90,0.1287
1302,87,0.1244
0504,85,0.1215
2102,83,0.1187
2211,82,0.1172
0606,82,0.1172
0309,81,0.1158
