categoria,frecuencia,porcentaje
0101,20904,29.8868
0901,2403,3.4356
0115,1717,2.4548
2101,1576,2.2532
1801,1247,1.7829
0920,1149,1.6427
1101,1146,1.6385
1301,1112,1.5898
1001,1018,1.4555
1601,931,1.3311
0114,906,1.2953
0501,883,1.2624
2201,870,1.2439
1901,860,1.2296
0201,831,1.1881
0401,718,1.0265
0108,708,1.0122
0601,694,0.9922
2001,681,0.9736
1401,571,0.8164
1501,554,0.7921
0301,546,0.7806
1804,546,0.7806
0801,538,0.7692
0502,520,0.7435
1215,490,0.7006
0106,479,0.6848
0701,464,0.6634
1703,428,0.6119
0506,420,0.6005
0111,407,0.5819
1712,402,0.5747
0116,386,0.5519
1701,385,0.5504
2007,337,0.4818
0117,328,0.4689
0102,325,0.4647
2202,321,0.4589
1904,317,0.4532
1201,314,0.4489
2205,307,0.4389
0103,294,0.4203
1412,268,0.3832
0608,268,0.3832
0509,257,0.3674
2011,252,0.3603
1217,240,0.3431
1202,236,0.3374
1705,219,0.3131
0513,218,0.3117
2203,214,0.306
1503,202,0.2888
1003,202,0.2888
0917,201,0.2874
0308,198,0.2831
0805,198,0.2831
1902,197,0.2817
0504,196,0.2802
1805,191,0.2731
1802,182,0.2602
1903,172,0.2459
0602,169,0.2416
0614,167,0.2388
0916,166,0.2373
0909,164,0.2345
1002,164,0.2345
2212,162,0.2316
0113,159,0.2273
0109,155,0.2216
0110,153,0.2187
0207,153,0.2187
0302,152,0.2173
0902,151,0.2159
1222,150,0.2145
1413,148,0.2116
1312,147,0.2102
0914,144,0.2059
0507,144,0.2059
1102,141,0.2016
1609,136,0.1944
0309,136,0.1944
0511,135,0.193
0505,135,0.193
2216,133,0.1902
0921,131,0.1873
1010,129,0.1844
1504,128,0.183
1406,127,0.1816
1420,127,0.1816
1220,127,0.1816
0104,124,0.1773
1216,123,0.1759
2214,122,0.1744
0922,122,0.1744
1604,122,0.1744
1905,119,0.1701
0105,119,0.1701
1105,118,0.1687
0802,117,0.1673
2217,116,0.1658
1218,115,0.1644
2204,115,0.1644
2008,113,0.1616
0415,113,0.1616
1107,113,0.1616
1103,111,0.1587
0606,109,0.1558
1108,108,0.1544
1213,105,0.1501
1507,105,0.1501
1219,105,0.1501
0803,105,0.1501
1302,104,0.1487
0611,104,0.1487
2207,102,0.1458
1008,102,0.1458
0903,101,0.1444
0904,101,0.1444
1404,101,0.1444
1104,100,0.143
1615,96,0.1373
1106,96,0.1373
2009,96,0.1373
2211,95,0.1358
0512,94,0.1344
1602,93,0.133
0403,93,0.133
0710,92,0.1315
1009,91,0.1301
1610,90,0.1287
0107,89,0.1272
0312,89,0.1272
0510,87,0.1244
1326,86,0.123
1109,85,0.1215
0923,84,0.1201
0203,82,0.1172
0609,81,0.1158
1708,80,0.1144
1416,80,0.1144
0503,79,0.1129
1711,79,0.1129
1020,78,0.1115
0919,76,0.1087
1603,76,0.1087
0416,72,0.1029
1308,72,0.1029
1021,72,0.1029
1415,70,0.1001
0804,70,0.1001
1307,69,0.0987
0202,69,0.0987
1006,68,0.0972
1502,67,0.0958
1212,66,0.0944
0406,65,0.0929
1709,65,0.0929
0603,65,0.0929
1211,65,0.0929
0604,65,0.0929
0806,64,0.0915
0407,64,0.0915
0413,62,0.0886
0314,58,0.0829
1303,58,0.0829
0304,58,0.0829
1704,57,0.0815
2010,57,0.0815
1207,56,0.0801
1017,56,0.0801
1004,55,0.0786
0112,55,0.0786
0306,54,0.0772
2002,54,0.0772
0911,54,0.0772
1311,53,0.0758
1506,53,0.0758
1221,53,0.0758
2106,52,0.0743
1505,51,0.0729
0719,51,0.0729
1210,50,0.0715
0414,50,0.0715
1304,50,0.0715
0409,50,0.0715
1012,50,0.0715
1306,49,0.0701
0613,48,0.0686
1325,48,0.0686
1508,48,0.0686
1315,46,0.0658
1418,46,0.0658
1706,46,0.0658
1421,46,0.0658
1402,45,0.0643
1013,44,0.0629
1710,44,0.0629
1203,44,0.0629
1707,43,0.0615
0303,43,0.0615
0913,43,0.0615
1225,43,0.0615
1014,42,0.06
1223,42,0.06
1403,42,0.06
1214,42,0.06
1803,42,0.06
1230,42,0.06
1019,41,0.0586
0612,41,0.0586
0912,40,0.0572
2208,40,0.0572
0905,40,0.0572
1305,39,0.0558
1324,38,0.0543
1327,38,0.0543
0205,37,0.0529
0704,37,0.0529
1317,37,0.0529
0906,36,0.0515
1016,36,0.0515
0705,36,0.0515
1007,36,0.0515
0310,36,0.0515
0910,34,0.0486
1015,33,0.0472
1907,33,0.0472
1613,33,0.0472
1909,33,0.0472
2107,32,0.0458
0610,32,0.0458
1906,32,0.0458
1228,32,0.0458
2005,32,0.0458
1713,32,0.0458
2004,31,0.0443
2006,31,0.0443
1005,31,0.0443
2206,31,0.0443
0713,31,0.0443
2103,30,0.0429
0313,30,0.0429
0924,30,0.0429
0410,29,0.0415
0204,29,0.0415
0404,29,0.0415
0915,29,0.0415
2003,27,0.0386
1702,27,0.0386
2215,27,0.0386
2213,27,0.0386
1410,27,0.0386
0305,26,0.0372
1419,26,0.0372
0206,26,0.0372
1409,25,0.0357
1408,24,0.0343
2102,24,0.0343
1908,24,0.0343
1309,23,0.0329
1229,23,0.0329
2209,23,0.0329
0316,23,0.0329
0508,22,0.0315
1319,22,0.0315
0307,21,0.03
2104,21,0.03
1910,21,0.03
0408,21,0.03
1607,20,0.0286
1204,20,0.0286
1612,20,0.0286
1411,20,0.0286
1331,19,0.0272
1316,19,0.0272
1405,19,0.0272
0808,19,0.0272
1911,19,0.0272
0208,18,0.0257
1616,18,0.0257
0605,18,0.0257
0807,18,0.0257
0315,18,0.0257
1329,18,0.0257
0907,18,0.0257
0706,17,0.0243
2210,17,0.0243
0411,17,0.0243
0412,17,0.0243
1407,16,0.0229
1206,16,0.0229
1414,16,0.0229
1605,15,0.0214
0908,15,0.0214
1313,14,0.02
1606,14,0.02
1227,14,0.02
1608,14,0.02
1714,14,0.02
0402,13,0.0186
1018,13,0.0186
1205,13,0.0186
1323,13,0.0186
1314,13,0.0186
0718,13,0.0186
0918,11,0.0157
0514,11,0.0157
1322,10,0.0143
1320,10,0.0143
0405,10,0.0143
0717,10,0.0143
1617,10,0.0143
1224,9,0.0129
0707,8,0.0114
0712,8,0.0114
2105,7,0.01
0714,7,0.01
1209,7,0.01
1226,7,0.01
1011,7,0.01
1417,6,0.0086
0709,6,0.0086
1310,6,0.0086
1208,5,0.0071
1611,5,0.0071
0607,4,0.0057
0311,4,0.0057
1330,4,0.0057
1333,4,0.0057
1321,3,0.0043
1318,3,0.0043
1614,3,0.0043
1332,2,0.0029
0702,2,0.0029
0716,1,0.0014
0708,1,0.0014
