categoria,frecuencia,porcentaje
320,68545,97.9998
840,263,0.376
9999,246,0.3517
222,169,0.2416
720,86,0.123
484,59,0.0844
192,53,0.0758
340,52,0.0743
170,41,0.0586
276,38,0.0543
723,37,0.0529
188,35,0.05
724,30,0.0429
604,22,0.0315
32,22,0.0315
1020,18,0.0257
380,17,0.0243
124,16,0.0229
152,13,0.0186
156,10,0.0143
568,10,0.0143
-1,10,0.0143
218,9,0.0129
410,9,0.0129
68,8,0.0114
718,8,0.0114
1026,7,0.01
84,7,0.01
630,7,0.01
214,7,0.01
862,7,0.01
76,6,0.0086
756,5,0.0071
1034,5,0.0071
721,5,0.0071
40,5,0.0071
1021,5,0.0071
858,4,0.0057
752,3,0.0043
364,3,0.0043
376,3,0.0043
554,2,0.0029
422,2,0.0029
208,2,0.0029
392,2,0.0029
36,2,0.0029
578,2,0.0029
400,2,0.0029
56,1,0.0014
566,1,0.0014
372,1,0.0014
275,1,0.0014
,1,0.0014
212,1,0.0014
643,1,0.0014
1043,1,0.0014
344,1,0.0014
470,1,0.0014
642,1,0.0014
780,1,0.0014
100,1,0.0014
1000,1,0.0014
388,1,0.0014
408,1,0.0014
620,1,0.0014
818,1,0.0014
10,1,0.0014
524,1,0.0014
368,1,0.0014
729,1,0.0014
352,1,0.0014
586,1,0.0014
608,1,0.0014
