categoria,frecuencia,porcentaje
320,68527,97.9741
840,300,0.4289
9999,257,0.3674
222,248,0.3546
720,101,0.1444
340,86,0.123
170,46,0.0658
484,45,0.0643
192,42,0.06
723,34,0.0486
188,33,0.0472
276,19,0.0272
124,18,0.0257
724,17,0.0243
604,13,0.0186
32,13,0.0186
214,12,0.0172
1020,11,0.0157
-1,11,0.0157
1026,10,0.0143
218,8,0.0114
862,8,0.0114
630,7,0.01
380,6,0.0086
76,5,0.0071
152,5,0.0071
721,5,0.0071
643,5,0.0071
1034,4,0.0057
40,4,0.0057
718,4,0.0057
84,3,0.0043
858,3,0.0043
56,3,0.0043
156,3,0.0043
392,3,0.0043
752,3,0.0043
68,2,0.0029
756,2,0.0029
725,2,0.0029
568,2,0.0029
616,1,0.0014
578,1,0.0014
,1,0.0014
498,1,0.0014
36,1,0.0014
804,1,0.0014
410,1,0.0014
208,1,0.0014
620,1,0.0014
642,1,0.0014
780,1,0.0014
316,1,0.0014
826,1,0.0014
600,1,0.0014
