categoria,frecuencia,porcentaje
,56798,81.205
9999,4253,6.0806
9712,3652,5.2213
6111,1435,2.0516
5221,451,0.6448
9211,397,0.5676
4311,325,0.4647
2341,218,0.3117
9998,166,0.2373
8322,163,0.233
3513,155,0.2216
7231,150,0.2145
7112,99,0.1415
2211,89,0.1272
3119,82,0.1172
3412,72,0.1029
3314,62,0.0886
5249,53,0.0758
7115,51,0.0729
4131,47,0.0672
8152,42,0.06
2611,41,0.0586
7536,41,0.0586
2359,40,0.0572
7411,38,0.0543
1219,37,0.0529
7512,33,0.0472
7212,33,0.0472
7531,31,0.0443
2141,28,0.04
2142,26,0.0372
3142,25,0.0357
8189,24,0.0343
9313,23,0.0329
2132,22,0.0315
2421,20,0.0286
2161,19,0.0272
8332,19,0.0272
310,19,0.0272
2511,18,0.0257
2422,18,0.0257
3114,17,0.0243
7131,17,0.0243
4321,17,0.0243
5412,16,0.0229
5242,16,0.0229
2431,15,0.0214
2411,15,0.0214
110,14,0.02
2144,14,0.02
2149,14,0.02
9621,14,0.02
2412,11,0.0157
2261,11,0.0157
3153,11,0.0157
4211,10,0.0143
7221,10,0.0143
1346,9,0.0129
7126,9,0.0129
2619,8,0.0114
2145,8,0.0114
2652,8,0.0114
2634,8,0.0114
2166,7,0.01
2351,7,0.01
2320,7,0.01
3431,7,0.01
9713,7,0.01
2433,7,0.01
5120,7,0.01
2152,6,0.0086
2221,6,0.0086
2642,6,0.0086
1120,6,0.0086
4419,6,0.0086
9629,6,0.0086
7321,6,0.0086
2636,6,0.0086
7412,6,0.0086
7534,6,0.0086
8341,6,0.0086
9333,6,0.0086
9111,6,0.0086
2212,5,0.0071
3522,5,0.0071
3118,5,0.0071
2113,5,0.0071
2133,5,0.0071
3139,5,0.0071
6113,5,0.0071
7319,5,0.0071
9711,5,0.0071
2631,5,0.0071
3434,4,0.0057
2353,4,0.0057
2633,4,0.0057
5131,4,0.0057
1212,4,0.0057
1221,4,0.0057
2656,4,0.0057
5419,4,0.0057
7322,4,0.0057
7323,4,0.0057
3115,4,0.0057
3212,4,0.0057
3322,4,0.0057
5141,4,0.0057
2151,4,0.0057
3521,3,0.0043
7232,3,0.0043
2659,3,0.0043
3331,3,0.0043
5111,3,0.0043
5411,3,0.0043
3421,3,0.0043
7223,3,0.0043
2632,3,0.0043
3123,3,0.0043
3221,3,0.0043
5153,3,0.0043
3422,3,0.0043
7511,3,0.0043
9520,3,0.0043
4214,3,0.0043
7314,3,0.0043
2262,2,0.0029
2250,2,0.0029
2519,2,0.0029
9321,2,0.0029
7313,2,0.0029
7533,2,0.0029
3257,2,0.0029
4229,2,0.0029
8321,2,0.0029
3432,2,0.0029
6121,2,0.0029
1411,2,0.0029
2529,2,0.0029
2651,2,0.0029
4312,2,0.0029
8219,1,0.0014
4221,1,0.0014
5132,1,0.0014
6222,1,0.0014
7222,1,0.0014
7311,1,0.0014
8343,1,0.0014
2153,1,0.0014
4226,1,0.0014
6123,1,0.0014
5243,1,0.0014
7122,1,0.0014
2413,1,0.0014
7125,1,0.0014
2342,1,0.0014
1111,1,0.0014
9122,1,0.0014
2131,1,0.0014
2267,1,0.0014
2514,1,0.0014
4222,1,0.0014
7233,1,0.0014
2635,1,0.0014
7522,1,0.0014
7132,1,0.0014
7523,1,0.0014
7543,1,0.0014
2330,1,0.0014
3411,1,0.0014
3122,1,0.0014
2120,1,0.0014
2354,1,0.0014
5113,1,0.0014
3435,1,0.0014
2310,1,0.0014
7549,1,0.0014
2522,1,0.0014
5223,1,0.0014
2641,1,0.0014
