categoria,frecuencia,porcentaje
,56798,81.205
9999,4793,6.8526
9712,3455,4.9397
9711,2687,3.8416
4120,459,0.6562
2341,369,0.5276
4311,234,0.3346
2359,106,0.1515
5221,98,0.1401
9998,92,0.1315
2342,66,0.0944
3513,41,0.0586
3412,40,0.0572
3221,37,0.0529
5142,36,0.0515
3314,35,0.05
7531,34,0.0486
2221,31,0.0443
2211,30,0.0429
2422,29,0.0415
2611,25,0.0357
7533,25,0.0357
4131,24,0.0343
1219,23,0.0329
5249,22,0.0315
8152,20,0.0286
2431,17,0.0243
5242,17,0.0243
2634,16,0.0229
4419,16,0.0229
2166,15,0.0214
2320,14,0.02
2161,13,0.0186
2411,9,0.0129
9629,9,0.0129
2619,8,0.0114
3119,8,0.0114
3435,8,0.0114
2261,7,0.01
2265,7,0.01
2433,7,0.01
2643,7,0.01
8189,7,0.01
4321,6,0.0086
2145,5,0.0071
2633,5,0.0071
2642,5,0.0071
2351,5,0.0071
2141,5,0.0071
8160,5,0.0071
1120,4,0.0057
2113,4,0.0057
2421,4,0.0057
2656,4,0.0057
1221,3,0.0043
2149,3,0.0043
2262,3,0.0043
2529,3,0.0043
4211,3,0.0043
4221,3,0.0043
4229,3,0.0043
7512,3,0.0043
2631,3,0.0043
1411,3,0.0043
2635,3,0.0043
3212,2,0.0029
3334,2,0.0029
3411,2,0.0029
5222,2,0.0029
6111,2,0.0029
9111,2,0.0029
3118,2,0.0029
2652,2,0.0029
1346,2,0.0029
2131,2,0.0029
2212,2,0.0029
110,1,0.0014
1212,1,0.0014
2132,1,0.0014
2151,1,0.0014
2152,1,0.0014
2250,1,0.0014
2353,1,0.0014
2354,1,0.0014
2413,1,0.0014
2632,1,0.0014
2636,1,0.0014
2641,1,0.0014
2651,1,0.0014
2655,1,0.0014
3322,1,0.0014
3431,1,0.0014
3522,1,0.0014
4214,1,0.0014
5111,1,0.0014
5311,1,0.0014
7322,1,0.0014
9713,1,0.0014
7231,1,0.0014
7314,1,0.0014
3434,1,0.0014
5153,1,0.0014
9321,1,0.0014
8219,1,0.0014
4223,1,0.0014
3142,1,0.0014
7122,1,0.0014
3214,1,0.0014
2659,1,0.0014
2142,1,0.0014
2264,1,0.0014
2267,1,0.0014
2511,1,0.0014
2514,1,0.0014
3222,1,0.0014
4226,1,0.0014
5120,1,0.0014
5169,1,0.0014
5223,1,0.0014
